player ID, trial, timestamp, x, y, z, rotx, roty, rotz
,1,05:46:39:130,-45.10987,1.08,-53.02048,0,0.00218877,0
,1,05:46:41:056,-44.12947,1.08,-46.2734,0,0.3758602,0
,1,05:46:43:141,-41.26517,1.08,-39.20196,0,0.3283245,0
,1,05:46:45:261,-41.53191,1.08,-34.77429,0,-0.1031428,0
,1,05:46:47:115,-43.32692,1.08,-25.68294,0,-0.09020283,0
,1,05:46:48:945,-44.23406,1.08,-16.59208,0,-0.01736359,0
,1,05:46:50:889,-44.54722,1.08,-6.909129,0,-0.1853906,0
,1,05:46:52:784,-48.55688,1.08,0.716351,0,-0.2538888,0
,1,05:46:54:708,-47.08175,1.08,6.620209,0,0.2252384,0
,1,05:46:56:659,-43.2874,1.08,15.56989,0,0.2686897,0
,1,05:46:58:527,-40.03495,1.08,22.15648,0,0.2202575,0
,1,05:47:00:445,-44.16309,1.08,27.85512,0,-0.3055891,0
,1,05:47:02:553,-48.35023,1.08,32.22284,0,0.3038465,0
,1,05:47:04:518,-48.38824,1.08,40.32763,0,0.04196851,0
,1,05:47:06:227,-47.67163,1.08,48.84248,0,0.04196851,0
,1,05:47:08:095,-48.21346,1.08,57.69262,0,-0.1518532,0
,1,05:47:09:735,-45.64062,1.08,59.18857,0,0.4921414,0
,1,05:47:11:547,-37.2476,1.08,61.45937,0,0.6853864,0
,1,05:47:13:556,-27.2375,1.08,61.68449,0,0.7142578,0
,1,05:47:15:641,-19.96865,1.08,60.37138,0,0.8182683,0
,1,05:47:17:533,-12.3751,1.08,60.00274,0,0.7191281,0
,1,05:47:19:563,-2.65164,1.08,61.86845,0,0.7233123,0
,1,05:47:21:482,5.815344,1.08,57.82345,0,0.832083,0
,1,05:47:23:216,8.29268,1.08,56.79088,0,0.9991112,0
,1,05:47:25:145,7.398744,1.08,48.18326,0,0.9977356,0
,1,05:47:27:156,8.510189,1.08,38.3482,0,0.9791186,0
,1,05:47:29:054,11.431,1.08,31.84406,0,0.9887003,0
,1,05:47:31:118,7.186822,1.08,26.68462,0,0.9658218,0
,1,05:47:33:018,1.981116,1.08,19.56767,0,0.9408631,0
,1,05:47:34:826,2.121783,1.08,14.08737,0,0.9996746,0
